Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
TZA,0,0,0,0,NA,Not Fragile,0,-0.08830714283124788
UGA,0,0,0,10,NA,Not Fragile,0,1.4027922727144624
UKR,0,0,0,4.508348667980039,NA,Not Fragile,-1.3430592757424988,-0.09833026640399213
URY,0,0,0,0,NA,Not Fragile,0,-0.48618375129272096
USA,0,0,0,7.947820364851388,NA,Not Fragile,0,0.5895640729702777
UZB,0,0,0,0,NA,Not Fragile,0,0.5182617800960421
VCT,0,0,0,NA,NA,Not Fragile,0,NA
VEN,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,0,-1.2574206100866305
VNM,0,0,0,0,NA,Not Fragile,0,-0.7251401778312252
VUT,0,0,NA,NA,NA,Not Fragile,NA,NA
WSM,0,0,NA,NA,NA,Not Fragile,NA,NA
YEM,0,0,10,0,High-Intensity Conflict,Not Fragile,1.4237931816051559,-1.0934948427033895
ZAF,0,0,0,10,NA,Not Fragile,0,1.3183724507804269
ZMB,0,0,0,0,NA,Not Fragile,0,-0.22846896516966847
ZWE,10,0,10,0,High-Institutional and Social Fragility,Not Fragile,2.041241452319315,-0.8506259484872366
