Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
ROU,4.840000000000001,6.266211722137218,0,1.5094738314516611,0.1396000000000015,0.2680000000000007,4.2153846153846155,4.25,0,0,45.8,0.612336284416892,-92.90692094779179,22.64210747177492,3.49,0.134,52.6,3.7,0,0
RUS,5.140000000000001,5.350550292635882,1.002551892357431,0.5868506853850519,6.63888,10,3.373846153846154,3,0,0,44.3,0.551032949669157,15.038278385361481,8.802760280775757,165.972,5.239,58.07,3.2,0,0
RWA,7.16,3.9716295653746325,3.7136914981226354,1.9168569670005642,4.113600000000001,1.8979999999999997,3.029230769230768,7.5,0,0,34.2,0.458714505088694,55.70537247183952,28.752854505008457,102.84,0.949,60.31,5,0,0
SAU,4.140000000000001,4.042536313433248,0,0,1.56752,0.8940000000000001,2.5323076923076924,2,10,0,49.3,0.463461696541847,-3.4444547049589054,-9.132276342404452,39.188,0.447,63.54,2.8,10,0
SDN,8.76,6.150409240897918,4.8268106162843,3.012194622349069,0.043400000000000105,0.013999999999999346,8.413846153846155,9.5,0,0,26.2,0.604583333333327,72.40215924426451,45.182919335236036,1.085,0.007,25.31,5.8,0,0
SEN,6.42,4.3165322928034175,10,10,2.28688,0.734,6.65076923076923,7.749999999999999,10,0,37.9,0.481805668125329,167.20973396576616,384.54370011496343,57.172,0.367,36.77,5.1,10,0
SGP,2.26,0,0,10,0.798,0,1.1692307692307686,1.25,0,0,58.7,0.147996989491015,-100,486.475199045405,19.95,0,72.4,2.5,0,0
SLB,9.86,6.662816505023201,NA,NA,0,0,9.63076923076923,9,0,0,20.7,0.638888888888889,NA,NA,0,0,17.4,5.6,0,0
SLE,6.359999999999999,1.7089330525456852,0,0,0.07235999999999976,0.10800000000000054,3.9261538461538468,10,0,0,38.2,0.307227462728477,-65.78220473759102,-53.80507813187651,1.809,0.054,54.48,6.1,0,0
SLV,5.159999999999999,5.39267902100252,1.8172472181906123,0.021390070995877863,1.569040000000001,2.4220000000000006,5.769230769230769,5.5,0,0,44.2,0.553853458925469,27.2587082728592,0.3208510649381464,39.226,1.211,42.5,4.2,0,0
SOM,10,8.443408955110762,6.666666666674814e-4,6.666666666674814e-4,0.03092000000000006,0,6.201538461538462,10,0,0,16.6,0.758099168474929,0.01,0.01,0.773,0,39.69,7.3,0,0
SRB,3.540000000000001,10,0,4.975185728062166,1.0891599999999997,0.6300000000000008,4.375384615384616,4.25,0,0,52.3,1,-32.99145299145299,74.62778592093248,27.229,0.315,51.56,3.7,0,0
SSD,9.66,6.70281586511475,0,0,0,0,7.452307692307692,10,0,0,21.7,0.641566837399533,-100,-64.55020110964563,0,0,31.56,7.3,0,0
STP,10,NA,6.666666666674814e-4,6.666666666674814e-4,0.573599999999999,0,NA,7.749999999999999,0,0,17.7,NA,0.01,0.01,14.34,0,NA,5.1,0,0
SUR,6.699999999999999,1.073457915433183,0,0,7.5394000000000005,10,0.9615384615384617,4,0,0,36.5,0.264682539682536,-8.537695027569661,-29.294372266796586,188.485,6.819,73.75,3.6,0,0
