Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
DNK,0,3.564452771041399,0,3.5536160978366516,5.3234,0.05000000000000071,3.9738461538461536,0.25,0,0,70.4,0.431454106735873,-13.84615384615385,53.30424146754977,133.085,0.025,54.17,2.1,0,0
DOM,6.340000000000001,4.956583433431737,0,0,1.3126800000000003,0.5540000000000003,2.292307692307693,5.75,0,0,38.3,0.524656953617365,-47.47863247863248,-48.229357863181846,32.817,0.277,65.1,4.3,0,0
DZA,9.28,5.418102503099674,3.267763041556143,6.4221550934497484,1.1954799999999999,0.8539999999999992,3.598461538461538,4.75,0,0,23.6,0.555555555555556,49.01644562334216,96.33232640174623,29.887,0.427,56.61,3.9,0,0
ECU,3.9800000000000004,7.106825956322959,0,0,1.4276800000000005,0.8580000000000005,1.7630769230769214,4.75,0,0,50.1,0.668615225662745,-27.240220487285093,-20.89323225680276,35.692,0.429,68.54,3.9,0,0
EGY,6.0200000000000005,6.418970539125132,0,0,0.016600000000000392,0.11800000000000033,4.92,4,0,0,39.9,0.622563454189215,-66.55233095713903,-65.2339881148894,0.415,0.059,48.02,3.6,0,0
ERI,9.52,0,0,0,0.10312000000000054,0.08000000000000007,4.455384615384616,9.75,0,0,22.4,0.18571952622054,-53.84615384615385,-50.69926581450077,2.578,0.04,51.04,5.9,0,0
ESP,0.8199999999999985,0.03274848381817108,1.601917788902206,4.234030996752752,10,0.9100000000000001,3.8061538461538467,2,0,0,65.9,0.195007268227491,24.028766833533087,63.51046495129129,550.605,0.455,55.26,2.8,0,0
EST,2.5999999999999996,10,0.5128205128205128,6.267154018897893,2.7655200000000004,0,7.66,2.5,0,0,57,1,7.692307692307692,94.0073102834684,69.138,0,30.21,3,0,0
ETH,5.88,5.885361054168175,0,2.5312828542107333,0.04655999999999949,0.034000000000000696,5.28923076923077,9.75,0,0,40.6,0.586838414532693,-5.5973813420621905,37.969242813161,1.164,0.017,45.62,5.9,0,0
FIN,0.2599999999999998,4.714772332476336,0,4.233805634442516,3.018679999999999,0.1039999999999992,3.9738461538461536,0.25,0,0,68.7,0.508467752685684,-23.089104086728803,63.50708451663773,75.467,0.052,54.17,2.1,0,0
FJI,8.86,0,10,4.612263124102763,10,10,1.8353846153846156,5.249999999999999,0,0,25.7,0.101932237818838,285.3923450706015,69.18394686154144,976.238,13.068,68.07,4.1,0,0
FRA,0.35999999999999943,9.590943594003205,0,10,10,0.7140000000000004,4.375384615384616,2.5,0,0,68.2,0.834926364462594,-25.40869811588043,309.2970060253219,269.965,0.357,51.56,3,0,0
FSM,7.44,NA,NA,NA,0,0,NA,NA,0,0,32.8,NA,NA,NA,0,0,NA,NA,0,0
GAB,10,5.978816524918553,0,0,0.15660000000000096,0,3.2692307692307683,7.5,0,0,20,0.593095238095238,-64.1291942478886,-26.525772766984225,3.915,0,58.75,5,0,0
GBR,0,3.84053277174229,7.670464795393489,2.552880019238412,10,1.9060000000000006,3.413846153846154,1.5,10,0,77.9,0.449937603096901,115.05697193090234,38.293200288576166,531.109,0.953,57.81,2.6,10,0
GEO,3.5999999999999996,5.38763608038849,2.6040967639319303,5.30323788125828,10,10,3.10923076923077,5,0,0,52,0.553515835141596,39.06145145897895,79.5485682188742,562.021,5.3,59.79,4,0,0
GHA,6.9,4.922767583196153,10,8.390974365085459,0.604280000000001,0.10200000000000031,5.4799999999999995,6.75,0,0,35.5,0.522392989754761,225,125.86461547628187,15.107,0.051,44.38,4.7,0,0
GIN,7.459999999999999,3.398109494263756,9.66752545699914,9.62434855117782,0.18055999999999983,0.3260000000000005,3.2046153846153844,10,10,0,32.7,0.42031746031746,145.0128818549871,144.36522826766728,4.514,0.163,59.17,6,10,0
GMB,7.16,0.5163784945122334,10,10,0.9765599999999992,2.128,5.015384615384615,9.25,0,0,34.2,0.227386192887204,518.9706428836863,195.4299853557542,24.414,1.064,47.4,5.7,0,0
GNB,10,NA,10,10,0.46456000000000053,0.1460000000000008,NA,10,0,0,20,NA,330.7692307692308,150.28321047563378,11.614,0.073,NA,6.2,0,0
GNQ,10,NA,0.5128205128205128,0,0.14255999999999958,0,NA,9.75,0,0,16.2,NA,7.692307692307689,-36.18261253062839,3.564,0,NA,5.9,0,0
