"","Index","Record_ID","Prior Record_ID","Countryname","Country","Outlook","Date","Prior Date","Count","Prior Count","Flag Change"
"142",2445,111125,71605,"Dominican Republic","DOM","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"143",2452,111132,71612,"Dominican Republic","DOM","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"144",2466,111146,71626,"Dominican Republic","DOM","Emerging",2021-07-22,2021-07-21,1,1,0
"145",2497,111177,71657,"Algeria","DZA","Overall",2021-07-22,2021-07-21,2.5,2.5,0
"146",2504,111184,71664,"Algeria","DZA","Underlying",2021-07-22,2021-07-21,1,1,0
"147",2518,111198,71678,"Algeria","DZA","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"148",2549,111229,71709,"Ecuador","ECU","Overall",2021-07-22,2021-07-21,3,3,0
"149",2556,111236,71716,"Ecuador","ECU","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"150",2570,111250,71730,"Ecuador","ECU","Emerging",2021-07-22,2021-07-21,3.5,3.5,0
"151",2601,111281,71761,"Egypt","EGY","Overall",2021-07-22,2021-07-21,2,2,0
"152",2608,111288,71768,"Egypt","EGY","Underlying",2021-07-22,2021-07-21,0,0,0
"153",2622,111302,71782,"Egypt","EGY","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"154",2653,111333,71813,"Eritrea","ERI","Overall",2021-07-22,2021-07-21,2,2,0
"155",2660,111340,71820,"Eritrea","ERI","Underlying",2021-07-22,2021-07-21,3.5,3.5,0
"156",2674,111354,71834,"Eritrea","ERI","Emerging",2021-07-22,2021-07-21,0.5,0.5,0
"157",2705,111385,71865,"Spain","ESP","Overall",2021-07-22,2021-07-21,0,0,0
"158",2712,111392,71872,"Spain","ESP","Underlying",2021-07-22,2021-07-21,0,0,0
"159",2726,111406,71886,"Spain","ESP","Emerging",2021-07-22,2021-07-21,2,2,0
"160",2757,111437,71917,"Estonia","EST","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"161",2764,111444,71924,"Estonia","EST","Underlying",2021-07-22,2021-07-21,0,0,0
"162",2778,111458,71938,"Estonia","EST","Emerging",2021-07-22,2021-07-21,2,2,0
"163",2809,111489,71969,"Ethiopia","ETH","Overall",2021-07-22,2021-07-21,5,5,0
"164",2816,111496,71976,"Ethiopia","ETH","Underlying",2021-07-22,2021-07-21,3.5,3.5,0
"165",2830,111510,71990,"Ethiopia","ETH","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"166",2861,111541,72021,"Finland","FIN","Overall",2021-07-22,2021-07-21,0,0,0
"167",2868,111548,72028,"Finland","FIN","Underlying",2021-07-22,2021-07-21,0,0,0
"168",2882,111562,72042,"Finland","FIN","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"169",2913,111593,72073,"Fiji","FJI","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"170",2920,111600,72080,"Fiji","FJI","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"171",2934,111614,72094,"Fiji","FJI","Emerging",2021-07-22,2021-07-21,2,2,0
"172",2965,111645,72125,"France","FRA","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"173",2972,111652,72132,"France","FRA","Underlying",2021-07-22,2021-07-21,0,0,0
"174",2986,111666,72146,"France","FRA","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"175",3017,111697,72177,"Micronesia","FSM","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"176",3024,111704,72184,"Micronesia","FSM","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"177",3038,111718,72198,"Micronesia","FSM","Emerging",2021-07-22,2021-07-21,0.5,0.5,0
"178",3069,111749,72229,"Gabon","GAB","Overall",2021-07-22,2021-07-21,2,2,0
"179",3076,111756,72236,"Gabon","GAB","Underlying",2021-07-22,2021-07-21,1,1,0
"180",3090,111770,72250,"Gabon","GAB","Emerging",2021-07-22,2021-07-21,1,1,0
"181",3121,111801,72281,"United Kingdom","GBR","Overall",2021-07-22,2021-07-21,0,0,0
"182",3128,111808,72288,"United Kingdom","GBR","Underlying",2021-07-22,2021-07-21,0,0,0
"183",3142,111822,72302,"United Kingdom","GBR","Emerging",2021-07-22,2021-07-21,2,2,0
"184",3173,111853,72333,"Georgia","GEO","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"185",3180,111860,72340,"Georgia","GEO","Underlying",2021-07-22,2021-07-21,0,0,0
