"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"155","Qatar","QAT",1.14979838140904,0.0924295774647899,NA,6.56379533333015,0.5,1.40635507915819,5.85714285714286,0.416666666666667,0,0,1,0.551382200054018,8.58346705397085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.5,6.51439346677519,0,0.501432333095689,4.14039335605413,0,0,0,0.5,5.76,0,2.72028058085159,1.71428571428572,0.833333333333334,0,0,0,7.3675906666603,1,10,0.0924295774647899,0,0,1,1.5,0.30402233053641,1.71823852242013,NA,NA,NA,NA,NA,0,0.3
"156","Saint Kitts and Nevis","KNA",NA,NA,NA,5.40056,2.50956937799043,NA,NA,1.5,0,0,0.5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2284998758425,2.00477897933435,NA,NA,0,0,0,0,8.76,4.01913875598086,NA,2.57142857142857,3,0,0,0.5,2.04112,1,NA,NA,0,0,0,0,1,2.23424346795356,NA,NA,NA,NA,NA,0,0.4
"157","Saint Vincent and the Grenadines","VCT",NA,NA,NA,3.90602,2.73684210526316,NA,NA,1.33333333333334,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74616608602962,2.11510855762212,NA,NA,0,0,0,0,7.4,4.47368421052632,NA,4.71428571428571,2.66666666666667,0,0,0.5,0.412039999999999,1,NA,NA,0,0,0,0,1,2.22705609649021,NA,NA,NA,NA,NA,0,0.4
"158","Singapore","SGP",0.112710316988125,5.11003521126761,NA,1.71461538461538,1.5,2.55501760563381,1.64285714285714,5,0,0,0.5,1.50350879590108,3.16227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62556499053761,0,0,0.925820099772552,0,0,0,0,2.26,0,0,0.285714285714286,0,0,0,0,1.16923076923077,3,3,5.11003521126761,10,0,1,1,2.26053869935191,2.31923497825375,NA,NA,1.4142135623731,NA,NA,0,0.3
"159","Slovenia","SVN",1.53616191067907,0,NA,5.875,1.60765550239234,0.929424070883585,1.30785714285714,5.5,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18330013267038,0.803699579665232,0,0.815913160645351,5.29150262212918,0,0,0.5,1.75,0.21531100478469,1.85884814176717,0.285714285714286,4,0,0,0,10,3,2.33,0,7,0,1,1.5,1,1.84315062315392,NA,NA,1.4142135623731,NA,NA,0,0.3
"160","Sweden","SWE",1.28020959986667,6.91461267605635,NA,4.73601629202656,2.27751196172249,3.45730633802818,2.75595238095238,0.083333333333333,0,0,0,1.62159338663654,9.47208138903647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11802178742962,2.15987772115342,0,1.47599845141227,0,0,0,0,0.5,1.55502392344497,0,0.428571428571429,0.166666666666666,0,0,0,8.97203258405311,3,5.08333333333333,6.91461267605635,0,0,0,0.5,2.62956511158335,1.8663475634054,NA,NA,NA,NA,NA,0,0.3
"161","Switzerland","CHE",2.19534584438306,0.0484154929577443,NA,5.3,0.5,0.0242077464788721,2.22428571428571,4.58333333333333,0,0,0.5,0.469079106814883,6.42834198900155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44948974278318,0,0,1.31257652838116,3.89444048184931,0,0,0,0.600000000000001,0,0,0.428571428571429,2.16666666666667,0,0,0,10,1,4.02,0.0484154929577443,7,0,1,1.5,0.220035208450248,1.35915669,NA,NA,1.4142135623731,NA,NA,0,0.3
"162","Thailand","THA",2.97455049115481,2.90933098591549,NA,6.24132,2.28229665071771,2.58406495148592,3.16666666666667,4.33333333333333,0,0,0.5,1.30601535525066,6.27341686909923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99348646448793,1.88801305647906,2.56351198170487,3.16227766016838,0,0,0,0.5,4.5,3.56459330143541,2.25879891705636,3,8.66666666666667,0,0,0.5,7.98264,1,3.33333333333333,2.90933098591549,0,0,0,0.5,1.70567610815052,0.656889672407233,NA,NA,NA,NA,NA,0,0.3
"163","Tonga","TON",NA,NA,NA,8.26384615384616,NA,NA,7.21428571428572,7,0,3,3,1,10,0,0,0,0,0,0,0,0,10,0,0,10,10,0,3,3,10,0,0,10,10,0,3,3,8.23275633813348,NA,NA,7.21110255092798,7,0,3,3,8.98,4.52153110047847,NA,7.42857142857143,7,0,0,1.5,7.54769230769231,NA,7,NA,7,0,0,1.5,1,NA,NA,NA,1.73205080756888,NA,NA,0,0.6
"164","United States of America","USA",3.14329686878143,0,NA,5.625,2.59569377990431,1.34475756829929,5.64285714285715,8.16666666666666,3.9739101824257,1,2,1.67904374303233,8.21709738131539,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,10,0,1,1,3.53553390593274,0.978231976089038,0,3.58568582800319,8.08290376865476,0,1,1,1.25,0.191387559808613,2.68951513659858,1.28571428571429,9.33333333333333,0,0,0.5,10,5,10,0,7,7.94782036485139,2,3,2.81918789101603,0.6845112719557,NA,1.73205080756888,1.73205080756888,NA,NA,0,0.2
